optfoilGAPTE
 1.00000     0.00847
 0.99767     0.01000
 0.99121     0.01452
 0.98368     0.01893
 0.97581     0.02299
 0.96750     0.02675
 0.95869     0.03034
 0.94934     0.03387
 0.93947     0.03744
 0.92913     0.04103
 0.91828     0.04456
 0.90682     0.04804
 0.89474     0.05158
 0.88219     0.05523
 0.86933     0.05884
 0.85603     0.06228
 0.84211     0.06564
 0.82767     0.06908
 0.81293     0.07253
 0.79789     0.07583
 0.78228     0.07904
 0.76606     0.08226
 0.74931     0.08558
 0.73214     0.08897
 0.71469     0.09245
 0.69713     0.09598
 0.67958     0.09951
 0.66210     0.10300
 0.64466     0.10640
 0.62712     0.10973
 0.60943     0.11305
 0.59161     0.11638
 0.57372     0.11976
 0.55589     0.12315
 0.53820     0.12655
 0.52079     0.12992
 0.50370     0.13319
 0.48695     0.13631
 0.47049     0.13927
 0.45428     0.14205
 0.43835     0.14465
 0.42271     0.14704
 0.40739     0.14918
 0.39238     0.15106
 0.37768     0.15266
 0.36329     0.15395
 0.34920     0.15494
 0.33543     0.15560
 0.32197     0.15594
 0.30880     0.15596
 0.29594     0.15567
 0.28340     0.15508
 0.27118     0.15419
 0.25926     0.15299
 0.24761     0.15150
 0.23623     0.14974
 0.22508     0.14771
 0.21416     0.14546
 0.20348     0.14301
 0.19304     0.14037
 0.18286     0.13756
 0.17292     0.13460
 0.16325     0.13151
 0.15385     0.12832
 0.14474     0.12505
 0.13595     0.12171
 0.12747     0.11831
 0.11932     0.11488
 0.11152     0.11142
 0.10408     0.10796
 0.09699     0.10448
 0.09025     0.10101
 0.08387     0.09755
 0.07783     0.09410
 0.07213     0.09068
 0.06675     0.08728
 0.06168     0.08392
 0.05691     0.08059
 0.05242     0.07731
 0.04820     0.07407
 0.04424     0.07087
 0.04052     0.06773
 0.03702     0.06464
 0.03375     0.06159
 0.03068     0.05859
 0.02780     0.05563
 0.02510     0.05273
 0.02258     0.04986
 0.02023     0.04704
 0.01805     0.04425
 0.01601     0.04151
 0.01413     0.03879
 0.01238     0.03612
 0.01077     0.03347
 0.00928     0.03087
 0.00791     0.02831
 0.00666     0.02578
 0.00551     0.02329
 0.00444     0.02085
 0.00346     0.01845
 0.00261     0.01609
 0.00189     0.01374
 0.00130     0.01142
 0.00084     0.00912
 0.00048     0.00686
 0.00022     0.00464
 0.00006     0.00245
-0.00001     0.00030
-0.00001    -0.00037
 0.00002    -0.00184
 0.00026    -0.00406
 0.00095    -0.00632
 0.00214    -0.00852
 0.00359    -0.01060
 0.00540    -0.01240
 0.00749    -0.01376
 0.00973    -0.01482
 0.01206    -0.01570
 0.01447    -0.01639
 0.01698    -0.01698
 0.01959    -0.01750
 0.02230    -0.01799
 0.02513    -0.01842
 0.02810    -0.01882
 0.03120    -0.01915
 0.03446    -0.01944
 0.03788    -0.01967
 0.04150    -0.01983
 0.04532    -0.01994
 0.04938    -0.01998
 0.05369    -0.01995
 0.05828    -0.01985
 0.06318    -0.01963
 0.06844    -0.01930
 0.07409    -0.01886
 0.08019    -0.01828
 0.08680    -0.01753
 0.09396    -0.01661
 0.10176    -0.01549
 0.11024    -0.01416
 0.11947    -0.01259
 0.12951    -0.01078
 0.14038    -0.00870
 0.15215    -0.00634
 0.16488    -0.00374
 0.17856    -0.00098
 0.19306     0.00186
 0.20825     0.00468
 0.22401     0.00737
 0.24025     0.00989
 0.25686     0.01220
 0.27376     0.01430
 0.29087     0.01619
 0.30813     0.01789
 0.32547     0.01942
 0.34285     0.02079
 0.36030     0.02204
 0.37777     0.02321
 0.39526     0.02431
 0.41276     0.02538
 0.43024     0.02642
 0.44770     0.02746
 0.46511     0.02849
 0.48248     0.02950
 0.49985     0.03050
 0.51719     0.03152
 0.53444     0.03252
 0.55159     0.03350
 0.56865     0.03444
 0.58559     0.03534
 0.60241     0.03616
 0.61915     0.03690
 0.63578     0.03756
 0.65233     0.03813
 0.66880     0.03862
 0.68514     0.03903
 0.70130     0.03935
 0.71726     0.03957
 0.73298     0.03968
 0.74843     0.03964
 0.76362     0.03946
 0.77852     0.03911
 0.79312     0.03856
 0.80746     0.03781
 0.82150     0.03690
 0.83512     0.03580
 0.84832     0.03446
 0.86117     0.03286
 0.87367     0.03104
 0.88576     0.02901
 0.89744     0.02675
 0.90875     0.02422
 0.91973     0.02150
 0.93031     0.01862
 0.94049     0.01552
 0.95028     0.01214
 0.95975     0.00843
 0.96900     0.00437
 0.97810     0.00004
 0.98705    -0.00446
 0.99352    -0.00794
 1.00000    -0.01142
