 ---------------------------------------------------------------
 Vortex Strengths (by surface, by strip)

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
  Standard axis orientation,  X fwd, Z down         

 ******************************************************************************
  Surface # 1     wing_fowler_flap                        
     # Chordwise  = 30   # Spanwise = 30   First strip  =   1
    Surface area =   21.570494       Ave. chord =    4.003804
     CLsurf  =   0.90105     Clsurf  =  -0.09832
     CYsurf  =  -0.01291     Cmsurf  =  -0.32943
     CDsurf  =   0.09525     Cnsurf  =   0.00735
     CDisurf =   0.09525     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   2.70238     CDsurf  =   0.28567
 ******************************************************************************

 Strip #  1     # Chordwise = 30   First Vortex =   1
    Xle =   9.77499    Ave. Chord   =    4.5461   Incidence  =    0.0000 deg
   58    14.30470     0.42255     0.00000     0.06455    -0.23445     1.72727
   59    14.36352     0.42255     0.00000     0.04140    -0.25500     1.24447
   60    14.39906     0.42255     0.00000     0.01857    -0.26574     0.71098

 Strip #  3     # Chordwise = 30   First Vortex =  61
    Xle =  10.07390    Ave. Chord   =    4.4267   Incidence  =    0.0000 deg
    Yle =   0.70321    Strip Width  =   0.27964   Strip Area =    1.237892
    Zle =   0.00000    Strip Dihed. =    0.0000

    cl  =   2.92462       cd  =   0.39160      cdv =   0.00000
    cn  =   2.94110       ca  =   0.23800      cnc =  13.01932    wake dnwsh =   0.14133
    cmLE=  -1.31109    cm c/4 =  -0.74963

    I        X           Y           Z           DX        Slope        dCp
   61    10.07671     0.70297     0.00000     0.01832     0.00045    13.37141
   62    10.10014     0.70297     0.00000     0.04085     0.00134     6.08201
   63    10.14675     0.70297     0.00000     0.06369     0.00118     4.02386
   64    10.21606     0.70297     0.00000     0.08585    -0.00160     3.13341
   65    10.30731     0.70297     0.00000     0.10710     0.00008     2.65702
   66    10.41956     0.70297     0.00000     0.12721    -0.00078     2.40638
   67    10.55160     0.70297     0.00000     0.14598    -0.00042     2.26434
   68    10.70203     0.70297     0.00000     0.16320    -0.00194     2.20066
   69    10.86927     0.70297     0.00000     0.17869    -0.00029     2.16951
   70    11.05154     0.70297     0.00000     0.19228     0.00124     2.18161
   71    11.24691     0.70297     0.00000     0.20384     0.00179     2.22295
   72    11.45330     0.70297     0.00000     0.21323     0.00209     2.27924
   73    11.66854     0.70297     0.00000     0.22037     0.00745     2.33559
   74    11.89033     0.70297     0.00000     0.22517     0.01161     2.43102
   75    12.11632     0.70297     0.00000     0.22758     0.02553     2.52704
   76    12.34413     0.70297     0.00000     0.22758     0.03720     2.71786
   77    12.57133     0.70297     0.00000     0.22517     0.04672     2.99078
